Treatment,Mass,mean
A,338.0530917,0.0
A,338.0668087,0.0
A,338.0881035,0.0
A,338.0893973,0.0
A,338.0917573,0.0
A,338.1244917,0.0
A,338.2087709,0.0
A,338.9993746,0.0
A,339.0005206,0.0
A,339.0145648,0.0
A,339.0158391,0.0
A,339.0358585,0.0
A,339.0370788,0.0
A,339.0470914,0.0
A,339.0482561,0.0
A,339.0509775,0.0
A,339.0521259,0.0
A,339.0624235,0.0
A,339.0721702,0.0
A,339.073511,0.0
A,339.0834121,0.0
A,339.0847676,0.0
A,339.0873526,0.0
A,339.0885936,0.0
A,339.1084807,0.0
A,339.1097663,0.0
A,339.1448971,0.0
A,339.1634704,0.0
A,339.1813536,0.0
A,339.1998701,0.0
A,340.0206438,0.0
A,340.032328,0.0
A,340.0462227,0.0
A,340.0574626,0.0
A,340.0673535,0.0
A,340.0686548,0.0
A,340.0750324,0.0
A,340.0825285,0.0
A,340.0837224,0.0
A,340.1038558,0.0
A,340.105133,0.0
A,340.9939973,0.0
A,341.0152115,0.0
A,341.0163416,0.0
A,341.0303327,0.0
A,341.0316349,0.0
A,341.041545,0.0
A,341.0513675,0.0
A,341.0527256,0.0
A,341.0624346,0.0
A,341.0627843,0.0
A,341.0639909,0.0
A,341.0662525,0.0
A,341.0667408,0.0
A,341.070023,0.0
A,341.0780447,0.0
A,341.0878177,0.0
A,341.0891779,0.0
A,341.099045,0.0
A,341.1004023,0.0
A,341.1026374,0.0
A,341.1030806,0.0
A,341.124213,0.0
A,341.1255149,0.0
A,341.1427409,0.0
A,341.1605784,0.0
A,341.1792136,0.0
A,341.1969484,0.0
A,342.0254741,0.0
A,342.0268347,0.0
A,342.0466224,0.0
A,342.0480079,0.0
A,342.0615556,0.0
A,342.0619902,0.0
A,342.0830928,0.0
A,342.0844512,0.0
A,342.0982389,0.0
A,342.1194655,0.0
A,342.120855,0.0
A,343.0095249,0.0
A,343.0109022,0.0
A,343.0305792,0.0
A,343.0309837,0.0
A,343.0320359,0.0
A,343.0454907,0.0
A,343.0460293,0.0
A,343.0472515,0.0
A,343.0571829,0.0
A,343.0575974,0.0
A,343.0604857,0.0
A,343.0670946,0.0
A,343.0685106,0.0
A,343.0823489,0.0
A,343.0856308,0.0
A,343.0936195,0.0
A,343.1034624,0.0
A,343.1047847,0.0
A,343.1187479,0.0
A,343.1398202,0.0
A,343.1762201,0.0
A,343.2125844,0.0
A,344.0412837,0.0
A,344.0424932,0.0
A,344.0523911,0.0
A,344.062308,0.0
A,344.0718635,0.0
A,344.0776104,0.0
A,344.1000751,0.0
A,345.025345,0.0
A,345.0265853,0.0
A,345.0363845,0.0
A,345.0369423,0.0
A,345.037896,0.0
A,345.0460497,0.0
A,345.0465037,0.0
A,345.0478553,0.0
A,345.0611555,0.0
A,345.0616242,0.0
A,345.0629644,0.0
A,345.0663404,0.0
A,345.0728776,0.0
A,345.0760516,0.0
A,345.0827102,0.0
A,345.0841223,0.0
A,345.0980287,0.0
A,345.1092991,0.0
A,345.1124748,0.0
A,345.1191278,0.0
A,345.1343127,0.0
A,345.1488563,0.0
A,345.1555687,0.0
A,345.170685,0.0
A,345.1918202,0.0
A,346.0204971,0.0
A,346.021743,0.0
A,346.056763,0.0
