SampleID,Group,Transformation,Formula,Counts,Perc_Counts
Sample12,Amino Acid,Adenosine-5_-phosphosulfate,C10H14N5O10PS,1,1.882813676758548e-05
Sample12,Abiotic,Biotinyl_(-H),C10H15N2O3S,7,0.000131796957373
Sample12,Other,Phytochelatin,C10H16N3O6S-,8,0.0001506250941406
Sample12,Amino Acid,Glutathione_(-H2O),C10H15N3O5S,10,0.0001882813676758
Sample12,Other,Alliin,C6H11NO3S,12,0.000225937641211
Sample12,Abiotic,GSH_Conjugation_1,C10H15N3O6S,14,0.0002635939147461
Sample12,Other,Stearyl_Conjugation_(-H),C18H35O,15,0.0002824220515137
Sample12,Amino Acid,Adenosine_(-H2O),C10H11N5O3,16,0.0003012501882813
Sample12,Amino Acid,Guanosine_(-H2O),C10H11N5O4,17,0.0003200783250489
Sample12,Abiotic,Biotinyl_(-H2O),C10H14N2O2S,19,0.0003577345985841
Sample12,Abiotic,GSH_Conjugation_2,C10H17N3O6S,19,0.0003577345985841
